[20:19:28] OK       https://www.rent.com/apartment/appleton-apartments-lincoln-ne-lc6038748  (6753 chars)
[20:19:30] OK       https://www.rent.com/apartment/fountain-glen-lincoln-ne-lc5914490  (8381 chars)
[20:19:31] OK       https://www.rent.com/apartment/arapahoe-village-lincoln-ne-lc6040252  (7297 chars)
[20:19:33] OK       https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/West-Dodge/  (2968 chars)
[20:19:34] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/West-Dodge/page-2/  (2511 chars)
[20:19:35] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/West-Dodge/0-beds-1  (2509 chars)
[20:19:36] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/West-Dodge/1-beds-1  (2730 chars)
[20:19:38] OK       https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Nebraska-Medical-Ce  (3306 chars)
[20:19:39] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Nebraska-Medical-Ce  (2963 chars)
[20:19:40] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Nebraska-Medical-Ce  (2919 chars)
[20:19:42] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Nebraska-Medical-Ce  (2902 chars)
[20:19:43] OK       https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Downtown-Omaha/  (3147 chars)
[20:19:45] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Downtown-Omaha/page  (3071 chars)
[20:19:46] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Downtown-Omaha/page  (2673 chars)
[20:19:47] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Downtown-Omaha/page  (2657 chars)
[20:19:48] OK       https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Central-Omaha/  (3256 chars)
[20:19:49] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Central-Omaha/page-  (2660 chars)
[20:19:51] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Central-Omaha/page-  (3241 chars)
[20:19:52] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Central-Omaha/page-  (2585 chars)
[20:19:54] OK       https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Dundee/  (2535 chars)
[20:19:55] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Dundee/page-2/  (2946 chars)
[20:19:57] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Dundee/page-3/  (2625 chars)
[20:19:58] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Dundee/page-4/  (2521 chars)
[20:19:59] OK       https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/West-Omaha/  (3252 chars)
[20:20:00] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/West-Omaha/page-2/  (2712 chars)
[20:20:02] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/West-Omaha/page-3/  (3370 chars)
[20:20:03] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/West-Omaha/page-4/  (2779 chars)
[20:20:05] OK       https://homes.trovit.com/for-rent-multi-family-omaha-ne/5  (18479 chars)
[20:20:07] OK       https://homes.trovit.com/for-rent-multi-family-omaha-ne/4  (18741 chars)
[20:20:09] OK       https://homes.trovit.com/for-rent-multi-family-omaha-ne/3  (18110 chars)
[20:20:11] OK       https://homes.trovit.com/for-rent-multi-family-omaha-ne/2  (17970 chars)
[20:20:13] OK       https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Benson-Gardens/  (3158 chars)
[20:20:14] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Benson-Gardens/page  (2591 chars)
[20:20:16] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Benson-Gardens/0-be  (2826 chars)
[20:20:17] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Benson-Gardens/1-be  (2898 chars)
[20:20:18] OK       https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Joslyn-Castle/  (2893 chars)
[20:20:20] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Joslyn-Castle/page-  (3174 chars)
[20:20:21] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Joslyn-Castle/page-  (2826 chars)
[20:20:22] SUB-OK   https://www.apartmentguide.com/neighborhoods/apartments/Nebraska/Omaha/Joslyn-Castle/page-  (2577 chars)
